x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.04232751618837938,0.0,2.1005091329490133e-11,-0.01748519638301507,0,3,0.04060763522159487,0.0
1.6684e-15,0.1,0.0,0.05282544180954574,-0.025491478360830735,2.5862487065125843e-12,1,0,0.0,0.05225254478704773
0.0,1.0,0.0,0.201,-0.013365091001286052,0.013023180419541912,1,4,0.0,0.201
1.0,1.0,0.1005,0.201,0.012608100405608738,0.012925470413547925,2,4,0.1005,0.201
1.0,0.0,0.1005,0.0,0.012939337226985712,-0.013754188606412815,2,3,0.1005,0.0
0.09807850000000001,0.019509,0.041447882606007624,0.010976299359754194,3.8215159660869025e-11,9.547610748880665e-12,0,0,0.0396753554432492,0.01154000008420488
0.092388,0.0382683,0.03715017290232936,0.02257850719797716,2.0572303843086056e-11,1.508659690230285e-11,0,0,0.03680476190022309,0.02213086066278684
0.083147,0.055557,0.031758149940287694,0.032384306638050475,1.0001547333382543e-11,1.7411365751951454e-11,0,0,0.032178481632905986,0.031414378563331236
0.0707107,0.0707107,0.026031262797914678,0.040000632445298834,7.374015460748227e-12,1.2233238727565876e-11,0,0,0.026368947782185116,0.03875902140582546
0.055557,0.083147,0.02003570127635612,0.04573383692695643,4.790694750622659e-12,2.724034713075252e-11,0,0,0.020225704923555406,0.04491505950236224
0.0382683,0.092388,0.013683615667105187,0.04993418485537404,7.392237863501628e-13,1.7753177400381404e-11,0,0,0.013674162905400003,0.049133637894702153
0.019509,0.09807850000000001,0.0069677066821896005,0.052584864275559084,3.9613754984624277e-13,8.959618203602249e-12,0,0,0.006903325594130152,0.05155611850454724
0.0,0.967857,0.0,0.19482021966177854,-0.026732510570601525,-1.3469460390796992e-09,1,0,0.0,0.19480658713925655
0.0,0.935714,0.0,0.1889033964544069,-0.02673837731633012,5.622192121579328e-11,1,0,0.0,0.18861503235234175
0.0,0.903571,0.0,0.1827723961796437,-0.026747793914166974,-4.196741912321222e-12,1,0,0.0,0.18242696622706256
0.0,0.871429,0.0,0.17641017407004256,-0.026758765584212172,5.562252047841554e-13,1,0,0.0,0.17624427752665486
0.0,0.8392859999999999,0.0,0.17013947827217635,-0.02677972348278077,8.356433600642532e-12,1,0,0.0,0.17006961131214843
0.0,0.807143,0.0,0.1640600443643052,-0.02680254559315416,5.922054513440855e-12,1,0,0.0,0.16390469642393937
0.0,0.775,0.0,0.15794045974689652,-0.026829923757752252,2.6175225181779282e-12,1,0,0.0,0.15775229453520573
0.0,0.742857,0.0,0.15167006070259959,-0.026856229964377927,7.449093425426767e-13,1,0,0.0,0.15161591028979626
0.0,0.710714,0.0,0.1454540504491888,-0.02689505124641351,-1.5937598463189317e-13,1,0,0.0,0.145487528463334
0.0,0.678571,0.0,0.13946781546110287,-0.026939665838605107,-6.421148335267192e-13,1,0,0.0,0.1393792405415835
0.0,0.646429,0.0,0.13358427720231703,-0.026993759072152596,-6.318400663785084e-13,1,0,0.0,0.13329348734657265
0.0,0.614286,0.0,0.12757823622450815,-0.027079063632934264,-7.592034639847257e-13,1,0,0.0,0.12723219729330237
0.0,0.582143,0.0,0.12141426636299002,-0.027137435925362937,-2.1773381708722894e-13,1,0,0.0,0.12120843134454712
0.0,0.55,0.0,0.11522052391228499,-0.027227763165954103,-1.3358064654411805e-13,1,0,0.0,0.11522088030799744
0.0,0.517857,0.0,0.10915024245696259,-0.02733461887939664,-6.324628321063841e-14,1,0,0.0,0.10927798817516789
0.0,0.485714,0.0,0.10332561246650585,-0.02745203935910407,2.185231162687984e-14,1,0,0.0,0.10339039716283369
0.0,0.453571,0.0,0.09771608053779346,-0.027612595756885492,3.5513259000197195e-14,1,0,0.0,0.09755777423930177
0.0,0.421429,0.0,0.09208006295375526,-0.02780410558243624,8.117118088790674e-14,1,0,0.0,0.09180451459654222
0.0,0.389286,0.0,0.08629383552033687,-0.02804398534730024,1.2289995410252885e-13,1,0,0.0,0.08614661331680824
0.0,0.357143,0.0,0.08063837575900834,-0.028332310125418217,2.366249557406164e-13,1,0,0.0,0.0806078391460024
0.0,0.325,0.0,0.07539102461487346,-0.02875311342081159,2.1889261236918145e-13,1,0,0.0,0.07522248547634974
0.0,0.292857,0.0,0.07037616018897097,-0.029304410465255025,2.6801824648536865e-13,1,0,0.0,0.07003909068179827
